센터명,시도,시군구,우편번호,주소1,주소2,위도,경도,대표전화번호,FAX번호,홈페이지
서울은평구청소년상담복지센터,서울특별시,은평구,3476,서울특별시 은평구,백련산로 4길 16 은평청소년수련관,37.5942391,126.9248841,02-384-1318,02-383-0508,http://www.ep1318.or.kr/
서울서대문구청소년상담복지센터,서울특별시,서대문구,3676,서울특별시 서대문구,증가로30길 45-9 휴먼센터 3~4층,37.5847065,126.9137128,02-3141-1318,02-334-0339,http://www.sdm7979.or.kr/
서울마포구청소년상담복지센터,서울특별시,마포구,4016,서울특별시 마포구,희우정로 77 마포한강아이파크 상가동,37.5525936,126.9031347,02-6376-9900,02-6376-9914,http://www.mapo1388.or.kr/
서울양천구청소년상담복지센터,서울특별시,양천구,8067,서울특별시 양천구,"남부순환로83길 53, 신월6동 행정복합타운 2층",37.5179767,126.8451747,02-2646-8341,02-2646-8342,http://yangcheon1388.or.kr/
서울강서구청소년상담복지센터,서울특별시,강서구,7718,서울특별시 강서구,화곡로 18길 14-5,37.5394554,126.8355144,02-2649-1318,02-2649-0331,http://www.gs1318.or.kr/
서울구로구청소년상담복지센터,서울특별시,구로구,8365,서울특별시 구로구,오리로 1115 천왕동청소년문화의집 2층,37.4844924,126.8399322,02-2060-1388,02-851-1319,https://www.guro1388.or.kr/
서울금천구청소년상담복지센터,서울특별시,금천구,8569,서울특별시 금천구 독산로32다길 17 (시흥동),서울시립금천청소년센터,37.4592044,126.9065605,02-803-1873,02-804-1387,http://www.gc1388.or.kr/
서울영등포구청소년상담복지센터,서울특별시,영등포구,7369,서울특별시 영등포구 도영로22길 36 (영등포동),2층,37.5101591,126.9032904,02-2676-6114,02-2636-2071,http://www.young1318.com/
서울동작구청소년상담복지센터,서울특별시,동작구,7062,서울특별시 동작구,여의대방로 20길 61 시립보라매청소년센터 슬기동 2층,37.4936597,126.9214376,02-834-1355,02-831-0365,http://djyc1388.or.kr/
서울관악구청소년상담복지센터,서울특별시,관악구,8790,서울특별시 관악구,남부순환로 234길 73 싱글벙글교육센터 벙글동 4층,37.47613,126.956833,02-871-7942,02-877-0025,http://go1318.or.kr/
서울서초구청소년상담복지센터,서울특별시,서초구,6703,서울특별시 서초구,"방배로5길 11, 2층",37.478305,126.9990658,02-525-9128,02-522-9128,http://seocho1318.com/
서울강남구청소년상담복지센터,서울특별시,강남구,6362,서울특별시 강남구,광평로 144 (수서동 749) 2층,37.4832555,127.0893646,02-222-68555,02-2226-1387,https://www.gangnam.go.kr/office/gnyc/main.do
서울송파구청소년상담복지센터,서울특별시,송파구,5834,서울특별시 송파구,중대로 4길 4 송파구청소년센터 3층,37.4895602,127.1106174,02-407-7179,02-449-1388,http://www.sp1318.or.kr/
서울강동구청소년상담복지센터,서울특별시,강동구,5211,서울특별시 강동구,아리수로93길 47 서울시립강동청소년수련관 2층,37.5665524,127.1732064,02-6252-1388,02-6252-1389,http://gangdong1388.or.kr/
부산광역시청소년상담복지센터,부산광역시,부산진구,47247,부산광역시 부산진구 서전로 43 (전포동),", 6층",35.1580831,129.0646224,051-804-5001,051-804-5056,http://www.cando.or.kr/
부산중구청소년상담복지센터,부산광역시,중구,48954,부산광역시 중구,남포길 39-2 3층,35.0982207,129.0332472,051-245-1388,051-241-1388,http://www.junggu1388.or.kr/
부산서구청소년상담복지센터,부산광역시,서구,49206,부산광역시 서구,시약로 125 1층,35.1207593,129.0096104,051-714-0701,070-8260-9966,http://flyseogu1388.or.kr/
부산동구청소년상담복지센터,부산광역시,동구,48723,부산광역시 동구,범곡로 9 비전센터 3층,35.1388752,129.0557304,051-632-1388,051-632-1389,http://bsdg1388.kr/
부산영도구청소년상담복지센터,부산광역시,영도구,49113,부산광역시 영도구,절영로 321 함지골청소년수련관 1층,35.0745388,129.0541464,051-405-5224,051-404-5224,http://www.busanyouth.or.kr/
부산진구청소년상담복지센터,부산광역시,부산진구,47209,부산광역시 부산진구,"동평로 405번길 85, 양정청소년수련관 2층",35.1773055,129.0717143,051-868-0950,0303-0951-1388,http://www.bsjin1388.or.kr
부산동래구청소년상담복지센터,부산광역시,동래구,47710,부산광역시 동래구,"중앙대로 1523 SK허브스카이 A3동 05호, 06호 3층",35.2212937,129.0855784,051-555-1388,070-8610-1226,http://www.1388youth.kr/
부산남구청소년상담복지센터,부산광역시,남구,48494,부산광역시 남구,유엔평화로 24 5층,35.1329074,129.0917635,051-621-4831,051-621-4841,http://www.namgu1388.kr/
부산북구청소년상담복지센터,부산광역시,북구,46579,부산광역시 북구,덕천로3(구포1동 610-1),35.2072495,129.0053539,051-334-3000,051-309-4118,http://www.bsbukgu.go.kr/youth
부산해운대구청소년상담복지센터,부산광역시,해운대구,48051,부산광역시 해운대구,재반로 151-21 해운대청소년수련관 4층,35.1922357,129.1270811,051-715-1388,051-715-1389,http://www.u-dream.or.kr/
부산사하구청소년상담복지센터,부산광역시,사하구,49412,부산광역시 사하구,동매로 161,35.1014487,128.9756509,051-207-7179,051-207-7199,http://saha1388.kr/
부산금정구청소년상담복지센터,부산광역시,금정구,46267,부산광역시 금정구,기찰로 96번길 47 2층,35.2379722,129.0950254,051-581-2072,070-4369-6611,https://www.gjyouth1388.or.kr/
부산연제구청소년상담복지센터,부산광역시,연제구,47525,부산광역시 연제구,월드컵대로 243번길 19 거제동원타워상가 503호,35.1890711,129.0697472,051-506-1388,050-4926-0238,https://www.yeonje1388.or.kr/
부산수영구청소년상담복지센터,부산광역시,수영구,48264,부산광역시 수영구 수영로521번길 77 (광안동),3층,35.1528264,129.1075257,051-759-8411,051-759-8412,http://www.meetyou.kr/
부산사상구청소년상담복지센터,부산광역시,사상구,46927,부산광역시 사상구,백양대로 952 사상아동보건센터 3층,35.1911022,128.9923628,051-327-0808,051-327-0809,http://sasang1388.kr/
부산기장군청소년상담복지센터,부산광역시,기장군,46069,부산광역시 기장군,기장읍 차성서로 86 대라다목적도서관 4층,35.2408341,129.2105895,051-792-4932,051-723-4255,http://gijangcmc.or.kr/1388/main/main.asp
대구광역시청소년상담복지센터,대구광역시,중구,41934,대구광역시 중구 중앙대로81길 66-5 (종로1가),", 대구청소년지원재단 3층",35.869932,128.5901125,053-659-6240,053-659-6249,https://1388.daeguyouth.net/html/main.html
대구중구청소년상담복지센터,대구광역시,중구,41919,대구광역시 중구,국채보상로 541 8층,35.8706454,128.5898014,053-423-1388,053-423-1389,http://www.ymca1388.or.kr/
대구동구청소년상담복지센터,대구광역시,동구,41155,대구광역시 동구,"화랑로 439, 3층(세정빌딩)",35.8764303,128.6721772,053-984-1318,053-984-1316,http://www.dg1388.or.kr
대구서구청소년상담복지센터,대구광역시,서구,41770,대구광역시 서구,서대구로222 3층,35.8777368,128.5552048,053-216-8310,053-289-3410,http://www.seoguc8310.or.kr/
대구남구청소년상담복지센터,대구광역시,남구,42410,대구광역시 남구,중앙대로 49길 25 2층,35.8552775,128.5890403,053-624-1388,053-624-1318,http://www.dng1388.or.kr/html/main.html
대구북구청소년상담복지센터,대구광역시,북구,41439,대구광역시 북구,칠곡중앙대로561 읍내동행정복지센터 3층,35.945897,128.5506015,053-324-1388,053-324-2388,http://www.teen1388.or.kr/main/index.html
대구수성구청소년상담복지센터,대구광역시,수성구,42027,대구광역시 수성구,달구벌대로 2451 범어도서관 5층,35.859376,128.6307058,053-759-1388,053-666-4249,http://ss1388.suseong.kr
대구달서구청소년상담복지센터,대구광역시,달서구,42726,대구광역시 달서구,학산로 7길 39 (월성동),35.8325393,128.5304235,053-638-1388,053-638-1390,http://dalbi1388.or.kr/
대구달성군청소년상담복지센터,대구광역시,달성군,43017,대구광역시 달성군 현풍읍 테크노중앙대로 231,3층,35.6969263,128.4551735,053-614-1388,053-614-1387,http://www.ds1388.or.kr/ds1388/
인천광역시청소년상담복지센터,인천광역시,동구,22573,인천광역시 동구 박문로 1 (송림동),", 인천교구 가톨릭청소년센터 1층",37.4712782,126.6514891,032-721-2300,032-721-2320,https://www.inyouth.or.kr/
인천중구청소년상담복지센터,인천광역시,중구,22408,인천광역시 중구,송산로 52(중구청소년수련관 1층),37.4779629,126.5441003,032-747-1318,070-7500-2328,http://www.junggu1388.kr/
인천중구동인천청소년상담복지센터,인천광역시,중구,22309,인천광역시 중구,참외전로 72번길 25 동인천동행정복지센터 3층,37.4770729,126.6289759,032-773-1318,032-773-1389,http://www.junggu1388.kr/
인천동구청소년상담복지센터,인천광역시,동구,22556,인천광역시 동구 송림로 80 (송림동),4층,37.4752803,126.6437627,032-777-1389,032-766-1387,www.dream1388.or.kr
인천미추홀구청소년상담복지센터,인천광역시,미추홀구,22136,인천광역시 미추홀구,주안로82(주안1동 232-3) 청소년미디어센터 5층,37.4638682,126.6787251,032-728-6835,032-728-6849,https://michu1388.michuhol.go.kr/
인천연수구청소년상담복지센터,인천광역시,연수구,21903,인천광역시 연수구 비류대로 235 (청학동),2층,37.4303272,126.6720445,032-819-7308,032-818-1760,https://www.ysyouth.or.kr/
인천남동구청소년상담복지센터,인천광역시,남동구,21589,인천광역시 남동구,소래로 645 남동구평생학습관 2층,37.446766,126.7327445,032-471-1388,032-471-1387,http://nd1388.or.kr
인천부평구청소년상담복지센터,인천광역시,부평구,21303,인천광역시 부평구 산청로 129 (청천동),2층,37.5137563,126.7016428,032-509-8910,032-509-8917,http://portal.icbp.go.kr/1388/
인천계양구청소년상담복지센터,인천광역시,계양구,21109,인천광역시 계양구 봉오대로600번길 20 (효성동),"2층, 계양구청소년상담복지센터",37.5286744,126.7152179,032-547-0856,032-547-0857,https://www.gyeyang1388.or.kr:50041/
인천서구청소년상담복지센터,인천광역시,서구,22819,인천광역시 서구,원적로 7번길 12 가좌청소년센터 2층,37.4880397,126.6786966,032-584-1388,032-584-1389,https://www.sg1388.or.kr
인천강화군청소년상담복지센터,인천광역시,강화군,23033,인천광역시 강화군,"강화읍 향나무길 22번길 30-1, 2층",37.7474503,126.4763123,032-933-1388,032-930-3838,https://ghycw.ganghwa.go.kr/main
광주광역시청소년상담복지센터,광주광역시,서구,62024,광주광역시 서구 학생독립로 37 (화정동),", D동 3층",35.1410307,126.8676647,062-232-2000,062-232-2003,http://www.gj1388.co.kr
광주동구청소년상담복지센터,광주광역시,동구,61482,광주광역시 동구,금남로 246 광주 YMCA 3층,35.1478138,126.9182577,062-229-3308,062-229-3309,http://www.dg1388.com/
광주서구청소년상담복지센터,광주광역시,서구,61966,광주광역시 서구 상무오월로 23 (쌍촌동),3층,35.1556237,126.862787,062-375-1388,062-369-1389,http://www.happy1388.com/html/
광주남구청소년상담복지센터,광주광역시,남구,61727,광주광역시 남구,"서문대로 693, 1층 남구청소년상담복지센터",35.1211973,126.8984146,062-675-1388,062-674-1388,http://www.1388namgu.or.kr/
광주북구청소년상담복지센터,광주광역시,북구,61132,광주광역시 북구,"대천로 86, 북구청소년수련관 1층 (문흥동 1009-1)",35.184927,126.9168028,062-268-1388,062-264-1388,http://www.ok1388.kr/main/
광주광산구청소년상담복지센터,광주광역시,광산구,62363,광주광역시 광산구,무진대로 246-7 2층,35.1606602,126.8076167,062-951-1380,062-955-9105,http://www.gsg1388.or.kr/
대전광역시청소년상담복지센터,대전광역시,동구,34630,대전광역시 동구 대전천동로 508 (원동),", 대전 청소년위캔센터 6층",36.3269829,127.4328557,042-257-2000,042-257-2077,https://dj1388.or.kr:51638/html/
대전서구청소년상담복지센터,대전광역시,서구,35334,대전광역시 서구,"월평로 71, 3층",36.3563416,127.365169,042-527-3112,042-537-9111,http://www.sgy1388.or.kr
대전유성구청소년상담복지센터,대전광역시,유성구,34097,대전광역시 유성구,북유성대로 158 유성구청소년수련관 3층,36.3807084,127.3236891,042-862-7942,042-825-7943,https://1318.happy-you.kr/
울산광역시청소년상담복지센터,울산광역시,중구,44532,"울산광역시 중구 강북로 105 (성남동, 롯데캐슬 스카이)",", 상가동 2층",35.5531105,129.3213424,052-227-2000,052-211-2979,http://www.counteen.or.kr/
울산남구청소년상담복지센터,울산광역시,남구,44692,울산광역시 남구,돋질로106 마이코즈건물 3층,35.5390443,129.3173034,052-291-1388,052-292-1388,https://www.ulsannamgu.go.kr/1388/cmm/main/NABI.do
울산동구청소년상담복지센터,울산광역시,동구,44070,울산광역시 동구 대학길 59 (화정동),3층,35.4989653,129.4211914,052-233-5279,052-233-1435,http://www.friend5279.or.kr/
울산북구청소년상담복지센터,울산광역시,북구,44224,울산광역시 북구,제내1길 6 복음빌딩 4층,35.6314559,129.3517668,052-283-1388,052-283-1391,https://www.bukgu1388.or.kr/
울산울주군청소년상담복지센터,울산광역시,울주군,45001,울산광역시 울주군 온산읍 덕신로 299,(6층),35.4344113,129.3141028,052-263-1388,052-229-9639,https://www.uljusiseol.or.kr/ulju1388/
울산울주군중부청소년상담복지센터,울산광역시,울주군,44920,울산광역시 울주군,범서읍 구영로 101-20 울주중부청소년수련관 내 3층,35.5749163,129.2441789,052-263-1388,052-229-9659,https://www.uljusiseol.or.kr/ulju1388/
세종특별자치시청소년상담복지센터,세종특별자치시,비어있음,30024,세종특별자치시 조치원읍 새내로 108,", 세종조치원금융센터 2층",36.6015988,127.298402,044-867-2000,044-867-2001,https://sj1388.or.kr/
경기도청소년상담복지센터,경기도,수원시 장안구,16305,경기도 수원시 장안구 송원로 55 (송죽동),", 경기도지방행정동우회관 1, 2층",37.3003179,127.0080296,031-248-1318,031-247-2319,https://www.hi1318.or.kr
수원시청소년상담복지센터,경기도,수원시 팔달구,16486,경기도 수원시 팔달구,권광로 293 수원시청소년재단 희망등대센터 3층,37.2739149,127.0348803,031-218-0444,031-218-0449,http://www.syf.or.kr
성남시청소년상담복지센터,경기도,성남시 중원구,13438,경기도 성남시 중원구,"성남대로997번길 7, 4층(금담빌딩)",37.4185544,127.1277795,031-729-9100,031-756-8626,https://www.snyouth.or.kr/fmcs/879
의정부시청소년상담복지센터,경기도,의정부시,11622,경기도 의정부시,의정로 27 청소년수련관 3층,37.7351202,127.0340886,031-872-1388,031-828-9574,https://www.uiyouth.or.kr/welfare/main/main.ui
안양시청소년상담복지센터,경기도,안양시 만안구,13997,경기도 안양시 만안구,안양로 263번길 31,37.3952374,126.9220464,031-446-0242,031-446-0243,https://www.ayf.or.kr/1388/index.do
부천시청소년상담복지센터,경기도,부천시,14596,경기도 부천시,원미구 장말로 107 복사골문화센터 301호,37.4947045,126.7542809,032-325-3002,032-325-1015,https://www.bwyf.or.kr/mindclick/index.do
광명시청소년상담복지센터,경기도,광명시,14241,경기도 광명시,디지털로 34 1호동 1층,37.4734499,126.8710804,02-809-2000,02-809-2085,https://gmyouth.or.kr/gm1388/index.do
평택시청소년상담복지센터,경기도,평택시,17903,경기도 평택시,평남로 616 청소년문화센터 4층,36.988595,127.1082917,031-656-1383,비어있음,http://www.pt1318.co.kr/
동두천시청소년상담복지센터,경기도,동두천시,11325,경기도 동두천시 동두천로 314 (생연동),동두천 복합문화커뮤니티센터 3층,37.9096713,127.0565209,031-861-1388,031-862-0784,http://1388.tistory.com
안산시청소년상담복지센터,경기도,안산시 단원구,15387,경기도 안산시 단원구 원초로 76 (초지동),4층,37.3262297,126.8059413,031-414-1318,031-486-0944,https://www.aycc.org/
고양시청소년상담복지센터,경기도,고양시,10512,경기도 고양시,덕양구 중앙로 633번길 25 토당청소년수련관 2층,37.6271908,126.8299752,031-995-4269,031-995-4278,https://www.gcyf.or.kr/sb/
과천시청소년상담복지센터,경기도,과천시,13828,경기도 과천시,참마을로 9 과천시청소년수련관 1층,37.426497,127.000666,02-502-1318,02-502-1330,https://www.gc1318.or.kr/
구리시청소년상담복지센터,경기도,구리시,11922,경기도 구리시,건원대로 34번길 32-10 구리시청소년수련관 3층,37.6037554,127.1417858,031-557-2000,031-568-6352,https://www.guriyouth.go.kr/1388/131
남양주시청소년상담복지센터,경기도,남양주시,12244,경기도 남양주시,다산지금로 51-47 남양주시청소년수련과 2층,37.6088887,127.1782826,031-590-8403,031-590-8099,https://www.nyj.go.kr/youth/nyj1388/134
오산시청소년상담복지센터,경기도,오산시,18136,경기도 오산시,오산로 278번길 3 2층 (오산동),37.1519165,127.0688799,031-372-4004,031-373-7740,https://www.osan1318.or.kr/1318/main.do
시흥시청소년상담복지센터,경기도,시흥시,14914,경기도 시흥시,은행로 179 시흥시청소년수련관 별관 1층,37.4460958,126.797121,031-318-7100,031-318-7102,https://www.shyouth.or.kr/schs/main/view
시흥시정왕청소년상담복지센터,경기도,시흥시,15049,경기도 시흥시 오동마을로 33 (정왕동),3층,37.3522887,126.7452813,031-318-7101,031-509-4314,https://www.shyouth.or.kr/schs/main/view
군포시청소년상담복지센터,경기도,군포시,15823,경기도 군포시 수리산로 112 (산본동),슬기관 2층 군포시청소년상담복지센터,37.3589611,126.9187185,031-398-1277,031-395-1452,https://www.gpyf.or.kr/gpsp/index.do
의왕시청소년상담복지센터,경기도,의왕시,16077,경기도 의왕시,"안양판교로 82, 포일어울림센터 2층",37.3959786,126.9825839,031-345-4530,031-345-4536,https://www.uyf.or.kr/uw1388/388
하남시청소년상담복지센터,경기도,하남시,12919,경기도 하남시,조정대로111(풍산동) 하남시청소년수련관 2층,37.5533039,127.1904675,031-790-6680,031-790-6682,https://www.hanam.go.kr/www/contents.do?key=5940
용인시청소년상담복지센터,경기도,용인시 처인구,17019,경기도 용인시 처인구,중부대로 1199 청소년수련관 4층,37.2408414,127.1775117,031-324-9300,031-322-9303,https://www.yiyf.or.kr/yongin1318/index.do
파주시청소년상담복지센터,경기도,파주시,10894,경기도 파주시,와석순환로 415 운정행복센터 6층,37.724233,126.7512977,031-540-5300,031-946-1318,https://www.pcy.or.kr/sd/main.php
이천시청소년상담복지센터,경기도,이천시,17380,경기도 이천시 이섭대천로 1119 (증일동),1층 이천시청소년상담복지센터,37.2703483,127.4453972,031-8011-3120,031-8011-3006,http://www.icfyouth.or.kr/
안성시청소년상담복지센터,경기도,안성시,17591,경기도 안성시 장기로 107 (낙원동),4층,37.0043557,127.2745067,031-676-1318,031-676-1319,https://www.an1318.or.kr/
김포시청소년상담복지센터,경기도,김포시,10099,경기도 김포시,걸포로 76 중봉청소년수련관 2층,37.637468,126.7041174,031-980-1681,031-980-1685,https://www.fgy.or.kr/ssac1388
화성시청소년상담복지센터,경기도,화성시,18372,경기도 화성시 태안로 145 (병점동),유앤아이센터 2층 화성시청소년상담복지센터,37.2029904,127.0331438,031-225-1318,031-224-8774,https://www.mars1318.or.kr/
광주시청소년상담복지센터,경기도,광주시,12779,경기도 광주시,회안대로 350-17 청소년수련관 3층,37.385385,127.2358851,031-762-2219,031-763-7633,http://www.ggj1388.or.kr/
양주시청소년상담복지센터,경기도,양주시,11469,경기도 양주시,옥정서로254 옥정3단지 내 행복플러스어린이집 2층,37.835137,127.087755,031-858-1318,031-858-1007,https://www.yangju.go.kr/yj1318/index.do
포천시청소년상담복지센터,경기도,포천시,11184,경기도 포천시 소흘읍 호국로523번길 59-56,포천시청소년재단 2층,37.821597,127.1288879,031-533-1318,070-4142-1830,https://www.pocheon.go.kr/welfare/contents.do?key=7545
여주시청소년상담복지센터,경기도,여주시,12623,경기도 여주시,청심로 88 3층,37.299599,127.6301828,031-882-8889,050-882-9191,https://www.yeoju.go.kr/youth/index.do
연천군청소년상담복지센터,경기도,연천군,11026,경기도 연천군,전곡읍 전영로 11 연천군종합복지관 2층,38.0303581,127.0670722,031-832-4452,031-832-8167,비어있음
가평군청소년상담복지센터,경기도,가평군,12452,경기도 가평군,"청평면 은고개로 39, 1층 가평군청소년상담복지센터",37.7391022,127.4241517,031-582-2000,031-582-8835,https://gp1388.or.kr/
양평군청소년상담복지센터,경기도,양평군,12556,경기도 양평군,중앙로 33-1 양평청소년문화의집 3층,37.5091929,127.5132608,031-775-1318,031-770-2808,http://www.yp1388.co.kr/
강원특별자치도청소년상담복지센터,강원특별자치도,춘천시,24270,강원특별자치도 춘천시 중앙로 14 (요선동),비어있음,37.8817487,127.727536,033-256-2000,033-241-8181,http://www.gycc.org/
춘천시청소년상담복지센터,강원특별자치도,춘천시,24400,강원특별자치도 춘천시 동내면 외솔길19번길 45,비어있음,37.8577659,127.7547179,033-818-1389,070-4009-2491,http://8181388.co.kr
원주시청소년상담복지센터,강원특별자치도,원주시,26475,강원특별자치도 원주시 서원대로 234 (단계동),원주시청소년수련관 이음관 3층,37.34063,127.9357388,033-744-1388,033-745-1505,http://www.wonju1388.kr/
강릉시청소년상담복지센터,강원특별자치도,강릉시,25474,강원특별자치도 강릉시 종합운동장길 72-21 (교동),강릉시청소년수련관 2층,37.7721012,128.8936385,033-655-1388,033-641-5681,https://www.gn1388.or.kr/
동해시청소년상담복지센터,강원특별자치도,동해시,25735,강원특별자치도 동해시 부곡1길 6 (부곡동),비어있음,37.5367765,129.1049549,033-539-8174,033-530-2716,https://www.dh.go.kr/dhyc/contents.do?key=1812
태백시청소년상담복지센터,강원특별자치도,태백시,26044,강원특별자치도 태백시 태백로 1663 (문곡동),비어있음,37.1205516,128.9914767,033-582-1377,033-582-1376,http://www.tb1388.kr/
속초시청소년상담복지센터,강원특별자치도,속초시,24867,강원특별자치도 속초시 관광로 377 (노학동),비어있음,38.1932172,128.5378623,033-638-1388,033-635-0741,https://www.sokcho1388.org/
삼척시청소년상담복지센터,강원특별자치도,삼척시,25919,강원특별자치도 삼척시 엑스포로 50-1 (성남동),3층,37.4392881,129.157392,033-575-5002,033-575-5001,http://scc1388.co.kr/
홍천군청소년상담복지센터,강원특별자치도,홍천군,25131,강원특별자치도 홍천군 홍천읍 산림공원2길 31,청소년수련관 2층,37.6898537,127.8953372,033-433-1386,033-435-1388,http://hcyc1388.org/
횡성군청소년상담복지센터,강원특별자치도,횡성군,25236,강원특별자치도 횡성군 횡성읍 문예로 75,청소년수련관 1층,37.4892291,127.975833,033-344-1388,033-340-2595,https://hsg1388.modoo.at/
영월군청소년상담복지센터,강원특별자치도,영월군,26237,강원특별자치도 영월군 영월읍 제방안길 100,영월군청소년수련관 2층 영월군청소년상담복지센터,37.1760424,128.4616927,033-375-1328,033-375-1338,https://www.kyw1318.or.kr/
평창군청소년상담복지센터,강원특별자치도,평창군,25377,강원특별자치도 평창군 평창읍 종부로 61,(3층),37.3606986,128.3890026,033-335-0924,033-332-1318,http://www.pc1388.or.kr/
정선군청소년상담복지센터,강원특별자치도,정선군,26150,강원특별자치도 정선군 사북읍 사북6길 12-6,비어있음,37.2285423,128.8193166,033-591-1311,033-591-1310,http://ycwc.jsyouth.or.kr/
철원군청소년상담복지센터,강원특별자치도,철원군,24037,강원특별자치도 철원군 갈말읍 명성로179번길 26,철원군청소년상담복지센터,38.1479174,127.3044662,033-450-5622,033-450-5166,https://www.cwg.go.kr/youth/contents.do?key=924
충청북도청소년상담복지센터,충청북도,청주시 상당구,28545,충청북도 청주시 상당구 사직대로361번길 17 (영동),2층 (청소년상담복지센터),36.6376877,127.4870075,043-220-6826,043-258-3422,http://1388.cbyouth.net
청주시청소년상담복지센터,충청북도,청주시 상당구,28543,충청북도 청주시 상당구,중앙로 30 청하빌딩 5층,36.6397821,127.488997,043-223-0755,043-223-0757,http://www.cj1388.or.kr/
서청주청소년상담복지센터,충청북도,청주시 흥덕구,28436,충청북도 청주시 흥덕구,직지대로 351번길 56 청주시청소년수련관 3층,36.6472381,127.4322012,043-297-1388,043-297-1380,http://www.1388cw.or.kr/
충주시청소년상담복지센터,충청북도,충주시,27411,충청북도 충주시,중원대로 3324,36.9644929,127.9259958,043-856-7804,043-854-1388,http://www.chungstar.org/
제천시청소년상담복지센터,충청북도,제천시,27152,충청북도 제천시,의림대로264 비둘기상가A동 2층 206호,37.1512718,128.2161738,043-642-7949,043-642-7955,http://www.jc1318.or.kr/
보은군청소년상담복지센터,충청북도,보은군,28936,충청북도 보은군,보은읍 군청길 114,36.4873421,127.7286098,043-542-1388,043-542-0924,http://www.boeun1388.or.kr/
옥천군청소년상담복지센터,충청북도,옥천군,29040,충청북도 옥천군,옥천읍 동부로 39 청소년수련관 1층,36.3061023,127.5768215,043-731-1388,비어있음,https://www.oc.go.kr/youth
영동군청소년상담복지센터,충청북도,영동군,29149,충청북도 영동군 영동읍 성안길 8,청소년수련관2층,36.1763328,127.7714156,043-744-5700,043-744-5702,http://www.yd1388.or.kr/
증평군청소년상담복지센터,충청북도,증평군,27948,충청북도 증평군,증평읍 보건복지로 64-2,36.7737373,127.5846317,043-835-4189,043-835-4190,http://www.jp1388.or.kr/
진천군청소년상담복지센터,충청북도,진천군,27832,충청북도 진천군,진천읍 포석길 37-10 청소년수련관 4층,36.856791,127.4387014,043-536-3430,043-537-3430,https://www.jincheon.go.kr/youth/counsel/main.php
괴산군청소년상담복지센터,충청북도,괴산군,28035,충청북도 괴산군,괴산읍 읍내로6길 20-9,36.8098308,127.7921377,043-834-7943,043-834-7946,http://www.goesan1388.or.kr/
음성군청소년상담복지센터,충청북도,음성군,27697,충청북도 음성군 음성읍 문화1길 10-3,"설성어울림센터, 2층",36.9377036,127.6924933,043-873-1320,043-873-1319,http://www.es1388.or.kr/
단양군청소년상담복지센터,충청북도,단양군,27012,충청북도 단양군,단양읍 삼봉로 187-18 단양군청소년수련관 2층,36.9775423,128.3637495,043-421-8370,043-421-8375,https://www.danyang.go.kr/dy1388/1386
